What don't we know about hotel rooms?	Hotels; What Don't People Know About X?; 	and should.
How can I become more self-aware?	Tips and Hacks for Everyday Life; Self-Awareness; Self-Improvement; Awareness; Weaknesses; Life Advice; 	
How can I make a good self through me?	The Human Race and Condition; Philosophy; Psychology; Human Behavior; Humanities; Religion; 	
Why don't people have confidence in Team India?	Cricket (sport); India; 	
How do you get someone to be self-motivated, given that you are very self-motivated?	Motivation; Intrinsic Motivation; Life Advice; 	Every day I wake up with one thought, 'I should be better than what I was yesterday'. This can mean anything from running a faster mile or writing better code. I intrinsically give myself measurable metrics on anything I do and try to beat them everyday. How do I pass on this attitude to someone who generally doesn't care about their job or how they live?
Can a novice get competent in Maya through self-learning?	3D Animation; Maya (Software); 	I am a non-technical person interested in expressing my creativity through digital media as a hobby (and who knows, as a career) in the future.  I was wondering if it's possible for a beginner, non-design, non-technical novice such as myself to get competent enough to create 3D animation using Maya?
How can I get over the feeling that fiction writing is a fundamentally narcissistic, self-absorbed act?	Writing; 	
What are some challenging tasks that if you do complete them you will get such a boost in confidence that you will henceforth start believing that you can achieve anything?	Self-Confidence; 	
How can I get more people to follow me on Quora?	Social Networks (online); Social Media; Quora Community; Following and Followers; 	
How can I get people to read my blogs?	Blogging; Blog Marketing; 	Last year I started blogging, but I think almost nobody ever reads what I write.  What are some ideas on attracting attention to my blog?
How can we get more people to use bicycles?	Transportation; Urban Cycling; Road Cycling; Bicycles; Urban Planning; Cycling; Bike Commuting; Civil Engineering; 	How can we get more people to cycle to work, to the store or for leisure? In studies carried out by the Municipality of Oslo, they discovered that it is not enough to just build more cycle paths. What else can be done to get more people to cycle/get people to cycle more often?
How can I get more people to view my photos on Flickr?	Photosharing; Flickr; 	
How can we get people to be more social in life?	Mind Control; Corporatism; Socializing; Privacy; 	
How can I get people to "like" my photos on Facebook?	Facebook; 	
How can Quora help people get a job?	Job Search; Quora Community; Quora; 	
How can creative people get better at negotiating?	Creative People and Artists; Negotiation; 	As an artist, I feel like my enjoyment of what I do often gets in the way of my being able to take advantage of its worth to others. What can I read and do to get better at making sure I don't leave money on the table?
How can I get my dog to be comfortable with people?	Dog Behavior; Dog Training; 	My dog is scared of people, especially men. I've had trainers tell me to expose her more to people. But then I've also heard the opposite--that exposing them to their fears can set a permanent response and make things worse. I take her to dog meet-ups and dog parks, and if there are a lot of people, she won't play. She loves other dogs and absolutely loves going to doggy daycare. I'm not sure what to do.
How can I get more people to like my Facebook Page?	Social Media Marketing; Marketing on Facebook; Facebook Pages; 	
How can I get the most influential people to follow me on Quora?	Influential People; Quora; Quora Follow Feature; Quora (product); Influence; 	This question is not related to getting a  large number of people follow you but  specific  powerful individuals such as those in  Quora   founding team.   What do these personalities who have thousands of followers themselves see in a person before following him.  A list of such influential people whom the world follows is given here. Recommended Users on Quora: Who should I follow on Quora? [ http://www.quora.com/Recommended-Users-on-Quora/Who-should-I-follow-on-Quora ]
How can I get more people to follow my Quora boards?	Quora Usage Data and Analysis; Quora; Boards (Former Quora feature); 	
How can I learn not to get screwed over and screw other people over?	Life Advice; Social Psychology; Social Advice; Self-Improvement; 	I have been the victim of politics a lot. In a student organization I was in, people would take credit for all my work (when they didn't do anything), but blatantly yelling at them or disagreeing with them in public doesn't seem to help my public image. How do I avoid getting screwed over and screw others over? Please dont give BS answers like, "be nice, dont screw others over" or "if you're nice to people they will be nice to you." It has happened multiple times I had my work taken away as someone's credit. My friends say I'm too soft/weak, and need to learn to be tough and give out the aura that people shouldn't mess with me. How can I do that?
How can I get people to stop telling me what to do?	Social Advice; Advice; Life Advice; 	Because of my position, most people I interact with try to tell me what I should do.  They imagine they are being helpful and often have absolutely no understanding of the challenges and factors affecting me or my projects.  It is lonely and even if I tell then that this is the dynamic I commonly face, they continue. Sometimes I stop talking with anyone, or feel angry. Sometimes I tell them to write their thoughts down since I am open to them, but don't want listening to people tell me what I "have to do" for the rest of my life. I think the last equal and enjoyable conversation I had was over 4 months ago, though the general problem has been going on for years.  Is there a polite way to get them to stop?
How can I get more people to fill out my survey?	Survey Questions; Business; Market Research; 	For example: https://docs.google.com/spreadsheet/viewform?formkey=dG9ldGZJU3NDLVlrZXg2bmtKRGNSbWc6MQ  This survey is directed towards Indians. 4 simple multiple-choice questions. Also, 100 Quora credits to those who fill out the survey. (Indians only)
How can I get people to fill out our foursquare survey?	Online Surveys; Incentives; Foursquare; 	
How can I get better at reading other people's code?	Computer Programming; 	
How can I get better at smiling at people?	Tips and Hacks for Everyday Life; Smiling; 	My natural inclination is to look away when I first make eye contact with people.
How can I get people I work with to work harder?	Production; Productivity; 	My business partner, out-sourced developers, all require so much hand holding and do very little on their own without extensive prompting.
How can I get people to have a charitable interpretation of my actions?	Social Advice; Human Behavior; 	No, I'm not trying to be Machiavellian or anything. Rather, I've been in a lot of tense situations, and the worst thing happens when people don't believe what I say (rather, they might believe that I'm lying). Obviously, personal history matters the most. But there are other factors involved too.
How can I get more people to ask me to answer questions?	Quora Policies and Guidelines; Quora "Ask to Answer" Feature; Marketing; Quora; 	I am new to this site and am still trying to figure everything out. I've noticed that you can ask people to answer your questions...but how can I make it where people are more likely to ask me to answer something?  What about getting more ask to answers without setting the cost to zero?
How can I get more people to write on Ficly with me?	Creative Writing; Writing; Creative Commons; 	I write on Ficly (http://ficly.com), a Creative Commons-based collaborative writing site where people can write 1024-characters-long story segments, then other people can come in and write prequels and sequels, also 1024 characters in length. It's quite a fun challenge to try to work a coherent story piece into that short a length, and also to respond to what other writers cause to happen over the course of your story.  The problem is that it can sometimes be hard to find anyone who would like to continue any of my stories (or, for that matter, anyone's stories in general). I suspect that this is due at least in part to the relatively small number of writers currently working in Ficly right now. It's not as likely other people will share any given writer's particular interests.  Other writers on Ficly have suggested posting comments to other writers' works to become more visible and draw more attention to my stories, and I plan to try that, but was curious if other people had other suggestions. (Or, for that matter, would like to come to Ficly and write some themselves!)
Does society get a net benefit from lying to poor youth about what they can accomplish?	Startup Advice and Strategy; Venture Capital; Entrepreneurship; Angel Investing; Startups; 	I have seen privileged entrepreneurs raise money and execute on mediocre plans, while a Nobody entrepreneur who has a great idea can never truly get attention from investors.   In Tech stealing ideas is not considered a crime. Hence the truth-ism, "Ideas are a dime a dozen, it is People who can execute that are valuable".  So, Does society get a net benefit from misleading the regular youth about their probability to create success without resources? Consider the damage caused to those who work hard and long only to find the glass ceiling is thick, then watch the privileged execute on their plans?
How can you tell the people truly passionate about something against the ones just faking it and/or practicing self delusion?	Psychology; Passion; Human Behavior; Self-Improvement; 	
I have a mystery novel that I will self-publish this year.  How can I entice people to read it without giving the plot away?	Mystery Novels; 	My concern is that in order to show the depth of the novel, I'd have to go into more detail, which would destroy the aura of "discovery" for the reader. I do not want to give the whole story away, like Hollywood trailers do.  What can I do to engage the prospective customer without telling them about the plot? Is it possible?
How can a self destructive culture be replaced with a healthy one in a sub-group of people?	Colonialism; Cultural Anthropology; Culture (social science); Self-destruction; Social Change; Psychology; Anthropology; Sociology; Peace; Cultural Evolution; 	In this case culture means world view, self regard, values, customs/practices, mindset, and similar. Basically the human "Operating System." When answering, put aside the question of how "proper" or improper the assessment  of cultural healthiness. Assume it's a case where the existing culture is without question, self destructive for adherents.
Can the world exist without poor people? If yes, what is stopping it from being one?	Money; Culture (social science); Ethics; Socialism; Capitalism; War on Poverty; Economics; Poverty; Political Economy; The Future; 	
Is there a correlation between how much people like Lost and how poor their quantitative skills are?	Correlations; Logic; Mathematics; Lost (TV series); Intelligence; Television; 	Illogical explanations, or no explanations at all.  It seems to me the only people who would be ok with this are those who fair poorly with logic and reasoning.  Anecdotal evidence suggests that my more mathematically-inclined friends dislike Lost.  Here's a great explanation from one of the Quora answers: There is definitely a correlation between fans of Lost and people who are OK with incredibly awful endings.   As mathematical expressions are elegantly encapsulated from beginning to end (even infinite sequences and series have sigma and pi notation), and lines of software code are neatly completed by semi-colons and carriage returns, I would say that your theory makes sense.
How does one get rid of self pity?	Self-Improvement; Pity; 	
How do I get into the Google Self-Driving Car team?	Google; Careers; Autonomous Driving; Google Self-Driving Cars; 	Which kinds of skills are needed? Is it only for people with an academic background? Do they need general professional programmers? Designers? Is there a way for existing Google employees to move to the project if they want to? Would there be a clear path for me to apply to Google with that specific goal in mind?
Have you reached a point of self-acceptance, and how did you get there?	Survey Questions; Self-Awareness; 	I'm interested in compelling events and triggers as well as means and methods, curious how other people get this done.  Notably, there is self-awareness, which may or may not be entirely acceptable.  From there, one reaches self-acceptance.  How?  Did you make changes having come to realizations that were unacceptable?  What criteria or metrics did you find useful?  Did you rationalize instead?  What basis?    Both?  Do tell!
How do we gain more confidence and be sure on what we say (In case people are trying to bring us down)?	Superpowers (special powers); 	
How does self awareness affect your perception of other people?	Psychology; Social Psychology; Self-Awareness; 	(How) does learning about yourself give you a better understanding of other people?
What do you do when your self-confidence fails on you in front of a person you like?	Love; Self-Improvement; Psychology; Self-Confidence; Body Image; 	You stumble and you end up looking weak and stupid. You also leave a really bad impression.   Imagine a scenario: You read poetry, prose. Your heroes don't live on TV screens and you really feel something in a classical music. You have a certain amount of knowledge in your head. You are also emotionally intelligent. You feel compassion and empathy for others, less fortunate.  But one day you meet a person that you find incredible. Your self confidence shatters. It is like standing in the middle of the stadium, with 10.000 people looking at you, and you forget the speech. You feel low, weak and lost. You feel like a complete loser. As if you lost every bit of knowledge and experience that you've gathered throughout the years. A complete failure. Not recognizable to yourself. And days after, that feeling remains. You keep on replaying all the horrible moments in your head. Everything that went wrong, went wrong. She/he is now quiet. There is no phone call, no text and no e-mail. You can feel how she/he thinks about you "what a loser, what a weakling....who is this girl/guy??"   How do you get back on your feet? How do you feel less stupid and reclaim your posture.  Thank you.
What changes in society/culture would increase the self-confidence of American women?	Self-Esteem; Psychology; American Culture; Body Image; Sexism; Feminism; Women; 	This is a follow-up question to What causes American women to have low self-esteem? [ http://www.quora.com/What-causes-American-women-to-have-low-self-esteem ].
What are some great children's books that help develop self-esteem and confidence?	Children's and Young Adult Books; Self-Confidence; Self-Esteem; Parenting; 	I have read both Jamie Lee Curtis´s 'I´m gonna like me' and Eric Litwin's 'Pete the Cat: I Love my White Shoes' to my daughter. Any other books you would recommend on the same topics?
What are the best suggestions for helping a 13-year-old girl develop self-confidence?	Life Advice; Raising Teenagers; Parenting; Child Development; Teenagers and Teenage Years; Girls and Young Women; Self-Esteem; 	
Are there any affordable classes in San Francisco or online that focus on building self-confidence?	Mental Health; Self-Improvement; Self-Confidence; 	I need more confidence around people, particularly in work/social settings. I get a bit too much social anxiety, and although I'm seeing a therapist for this, I'd also like to take a course if available. Are there any courses in SF or even online that have helped boost your confidence? (Please don't say to just eat right, exercise, etc. ... Ive done this, and need more help)
How can i avoid my self getting addicted to Facebook? How is Facebook affecting our Minds? How dangerous is Facebook to our nervous system as compared to alcoholism?	Social Networks (online); Human Behavior; Facebook Inc. (company); Science; Psychology; Nervousness; Facebook; Addictiveness; 	
Social psychology teaches us that Asian people's conception of the self is more collectivist/interdependent. How can this be reconciled with the fact that Chinese people in general tend to be very inconsiderate of others?	Social Psychology; Chinese Etiquette and Behavior; Questions That Contain Assumptions; Psychology; 	
How do you rebuild confidence after failing at a startup?	Entrepreneurship; Startups; Failure; 	My startup failed, and now I am trying to regain confidences and learn something from where I fall off...
How do I build up my confidence shattered by my PhD?	Graduate School; Self-Confidence; 	I'm due to finish my sciences PhD this summer at a top european school, and I've not done great - not badly either (I *will* finish, have 1 paper and 1 in the pipeline but have been to no conferences at *all*) but it wasn't like a duck to water. and the confidence I was brimming with after undergrad has slowly ebbed away. How do I get that back  or at least some, in preparation for interviews and generally not being so down on my professional or academic abilities?
How do I strike the balance between confidence and arrogance?	Self-Improvement; Arrogance; Self-Confidence; Life Advice; Tips and Hacks for Everyday Life; Personality; 	Any tips on developing a persona that rests right there?
How is consumer confidence measured and calculated?	Economics; Behavioral Economics; Econometrics; Academic Research; Measurements; Qualitative Research; Consumer Confidence; Research Methods; Metrics; 	
How do I boost someone else's confidence?	Self-Confidence; Social Psychology; 	I would like more tips in how to boost other's confidence, and how to make it stay up longer.
How does the organic food movement affect the world's poor people?	Organic Food; Poor People; Health and Wellness; International Economics; Agriculture; Food; 	Conventional industrial farming methods seem to have been developed to maximize yield from the soil. If rich people go organic, what will the effects be on the people who live in absolute poverty, many of whom are dying of malnutrition as I write this? It's important to note that American exports are a huge percentage of the world food trade.  This is a follow-up question to Is organic food better for you? [ http://www.quora.com/Is-organic-food-better-for-you ].
How do the wealthy manage friendships with much less wealthy (even poor) people?	Wealthy People and Families; Wealth; 	Say you've got all the money you'll ever need to do anything. But many of your friends from college or life or what have you are still ordinary middle class. You want to go out to fancy restaurants, you want front row seats to U2, you want to tour Europe, you want all the things you can now afford. But they can't afford to join you, but you want their company. And how do you watch them struggling under a mortgage and college tuition bills? It seems unwise to just doll out money-- this could create terrible dependencies. I'm hoping to hear from someone with personal experience.
How can I help my 5 year old to overcome shyness and develop social confidence?	Self-Confidence; Parenting; Shyness; Children; People Skills; 	She's intelligent and pretty (I would say that wouldn't I), and very sociable with people she knows. But when it comes to new situations or new people she's incredible shy and becomes very clingy. How can I help her build confidence to go interact with other children?
How should I practice so that I will be at a level where I can approach TopCoder's Div1-500 problems with confidence?	Competitive Programming; TopCoder; 	I am a rookie with zero competitive programming experience.
What the basic requirements of people to get the self storage services?	Self Storage; 	What are the basic requirements of people who are looking for self storage services for their business or home?
Do people often get injured while taking a self-defense class such as Krav Maga?	Self-Defense; Krav Maga; 	I'd like to learn Krav Maga for self defense but I'm more worried about getting injured in the class than in real life.   Is there any realistic basis for this fear?
23andme reports my risk of getting prostate cancer is 28.5%, whilst the average risk is 17.8%, with a 4/4 confidence marker. How do I minimize my risk of getting prostate cancer?	Healthy Eating; Cancer Prevention; Cancer Research; Healthy Living; 23andMe; Health and Wellness; Prostate Cancer; Disease Prevention; 	
Why do you think people are poor?	Startup Founders and Entrepreneurs; Survey Questions; 	In the age where it is so cheap to start a business, why do you think people are poor? Is it a social or economic problem, laziness, or another reason?
What leads people to be poor?	Career Choices; Personal Finance; Poverty; Economics; Life Lessons; Economic Inequality; Market Failure; Labor (people working); 	
Is there a way to get the confidence values in SVM classification?	Machine Learning; Support Vector Machines; 	
Why do you think most poor people remain poor?	Questions That Contain Assumptions; Success; Survey Questions; Poor People; Public Education; Poverty; 	It's been proven that "a person of any social-economic background" can, with persistence, rise from the lowest of financial circumstances if he or she doesn't lose sight of prosperity as a goal. Yet I've observed much of the population's poor grovel in poverty for most of their lives.   Who's fault is this? It's not entirely on the government or the rich, is it?  Why do you think the poor remain poor in countries where basic education is free, college loans are nearly guaranteed and knowledge on the internet freely accessible to anyone with a library card?   In fact, many poor people spent more time in our public education system than some of today's Billionaires like Richard Branson or late inventors like Edison. These are facts. Answer accordingly.
How can I become less self-conscious on Quora?	Shyness; Quora (product); Social Anxiety; Quora Community; 	I worry too much when I message people and feel so paralyzed by social anxiety that I have a hard time answering questions without worrying about upvotes and what other people will think. How can I fix this?
How can I market a self-published book?	Books; Marketing; 	For the past six months, my class has been writing short stories, and we recently published our book. The goal of this book is to find our school a new building. How can I market this the most effectively? You can find our book and more info about it at Legacies, The Class of 2013 [ http://bookpdx.com ].
How can I offer self-service ads on my website?	Internet Advertising; Digital Advertising; Demand Side Platform (DSP); Ad Network and Ad Service Startups; Ad Networks and Ad Services; 	Let's say I have an ad sales force of a dozen or so employees and ad revenue of $100M. A lot of my advertisers are small and I'd like to have a self-service system so my reps can focus on larger advertisers. How can I actually implement this? Should I have developers create something from scratch or are there good third party solutions available? I am new to online ads so would appreciate a comprehensive explanation of my options.
How can I invest in the self driving car revolution?	Autonomous Driving; Google Self-Driving Cars; Investment Advice; Investing; Cars and Automobiles; Startups; 	I feel strongly that self driving cars will revolutionize our world. What's the best way to invest in this future? There's obviously Google but anything that is more of a pure play?
How can self-driving cars change our world?	Google Self-Driving Cars; Business; Artificial Intelligence; Autonomous Driving; Cars and Automobiles; 	For good or bad.  A few obvious things come to mind, and I know these sorts of things are difficult to predict, but what are some not-so-obvious consequences that can come about from living in a world where most cars are self-driving?
How can I self study Linear Algebra?	Mathematics; Linear Algebra; Self-Teaching; 	
As a self-taught programmer, how can I learn about compilers?	Computer Programming; Compilers; 	I'm trying to write a mini compiler to improve my understanding.  I've found the website for the Stanford course CS143 on compilers (http://www.stanford.edu/class/cs143/) but there are no video lectures available.   Does anybody else know a good place to start? I find the Dragon book too detailed to start with.
How can I publish my self-produced comic?	Comics (narrative art form); Self-Publishing; 	Publishers, digital comics, etc..
How can one cultivate self discipline?	Self-Improvement; Learning; Discipline; 	
How can I improve my child's Self Esteem?	Parenting; 	
How can I self-study algebraic number theory?	Mathematics; 	
How can one self-teach programming to himself at home? 	C++ (programming language); Self-Teaching; Visual Basic; Python (programming language); Learning to Program; Computer Programming; 	What are some ways to do so? And which language do you recommend me to learn?
How can I create a PDF that self-destructs or deletes itself ?	Information Security; 	I need to create PDFs that will disappear in 8 days or 30 days, etc.
How can you learn to love your naked self?	Self-Awareness; Feminism; Body Image; Love; 	
How can i self learn Hybris Multichannel Suite?	Hybris Software; Self-Teaching; 	Where can i get Hybris training?  or How can i learn myself?
How can you self treat a toothache or rootcanal?	Health and Wellness; Dentistry; Teeth; Medicine and Healthcare; 	I do realize they can be quite different.
How can I decouple my intelligence and self-worth?	Self-Improvement; Psychology; Intelligence; Self-Esteem; Smart People; 	
How can one be complete with one's own self in life?	Life; 	This is desired so that one may not need another person to be complete.
If we can't trust the Universe how can we trust our own selves and each other?	Philosophy; Trust; The Universe; 	
How can I save my startup from self-censorship in China?	Web Censorship in China; Startups in China; Startup Advice and Strategy; 	My startup's mission is connecting people and organization and providing services for the different kinds of organizations. But in China, there is NO freedom of association. That means you have to do self-censorship if your website is concerned with organization.   It's an insult to the spirit of the Internet and it's also fatal for my startup. Because I'll never do that SHIT.Therefore, we can't promote our website in China or we'll be invited to "have some tea" then shut down the website by force.      We get stuck and we need some advice. I'll be in California on middle October and I'll appreciate if anyone could let me know where to get help. Thank you guys.
How can one develop a habit of self learning?	Self-Teaching; Independent Research; 	
How can one cultivate self-worth?	Self-Improvement; Self-Esteem; Tips and Hacks for Everyday Life; 	
How can someone help their friend's self-esteem?	Friendship; Self-Esteem; 	
How can I self study abstract algebra?	Mathematics; Abstract Algebra; 	
How can one be a self-taught computer programmer	Computer Science; 	
How can I overcome my lack of self esteem?	Self-Improvement; Self-Esteem; 	Recently everyone at work was involved in a training exercise aimed at improving the levels of communication within the company.  One of the tasks involved the use of a video camera and I got on quite well, until I had to look at my video at home and saw myself as the camera sees me.  Instead of the assured, self-confident image that I like to think I have, I saw an overweight idiot and felt quite a bit depressed.  Is this a normal reaction?
How can I self-study complex analysis?	Mathematics; Complex Analysis (mathematics); 	
How can I self-study set theory?	Mathematics; 	
How can we help women with self esteem?	Women; Self-Esteem; 	
How can you predict GRIT or self control?	Education; 	I'm concerned with 3 questions: • Are there ways to determine or evaluate grit or self control? • What is the best research on self control? • Also, how does one teach grit or self control?  http://www.nytimes.com/2011/09/18/magazine/what-if-the-secret-to-success-is-failure.html?pagewanted=all
How can I self-study real analysis?	Real Analysis; Mathematics; 	
How can I become a self-challenged person?	Neuroscience; Startup Founders and Entrepreneurs; Personality; Health and Wellness; Entrepreneurship; Human Behavior; 	I always admire persons who are all the time involved in stuff and become the best at it. Great students, with high GPA with side project or president of an association.  I really don't care what they accomplish, nor do I envy them. I just want to have that same atittude of always challenging myself and discipline. But how?
How can I self study discrete mathematics?	Mathematics; Discrete Mathematics; Studies and Studying; 	I'm taking a discrete mathematics course next semester, but unfortunately it is online. I will go to a physical classroom only once a month to take a written exam. Otherwise, I am completely on my own.  The required textbook is by Susanna Epp. Should I merely read the chapters and do all the exercises?
How can I self-study functional analysis?	Mathematics; 	
How can the comfortably rich better understand what it is like to be poor?	Empathy; Wealth; Money; Ignorance; Politics; Class Struggle; Poverty; 	
How can poor entrepreneurs afford to live in San Francisco?	San Francisco; Startups; 	Rents seem really high.
If women prefer the rich, how can there be kids with poor dads?	Questions That Contain Assumptions; Dating and Relationships; 	I mean seriously. All males want as many females as possible. Unless the woman is totally ugly, there will be no shortage of males wanting to pay her for sex. How can there be any kids with poor dad?
My parents are old and very poor. I am likely to have a better future. How can I help them?	Tips and Hacks for Everyday Life; 	I am 25 years old , well educated (masters from one of the best engineering colleges in world) will get employed in next two years in one of the top companies in the world, I have good values in life and over all I am an extremely very happy with my life so far despite my current poverty.   Whatever I am today is because of the sacrifices of my parents. In their ambition to give me a better life they have hurt themselves financially and health wise. Currently they around 70 and 65 years of age and looking at their state of health I dont think they have more than 10 years of life left in them.  I feel sad that despite their hard work I am not able to give them anything in return. For example my father always wanted to travel abroad but now his health makes him difficult to travel long distances.   I sometimes feel that I am a bad son and have failed to do my duty towards them. I feel that may be my ambitions were too high, if I had aimed lower may be we wouldn't have been under so much stress.  When I speak to my parents about this that they say that they are very proud of the way I have grown up despite the fact that they could not give me much. They say that they dont want more.  I find it difficult to read their mind.
How can the uncomfortably poor better understand what it is like to be rich?	Poverty; Politics; Wealth; Ignorance; Empathy; 	This is a follow-up question to How can the comfortably rich better understand what it is like to be poor? [ http://www.quora.com/How-can-the-comfortably-rich-better-understand-what-it-is-like-to-be-poor ].  Taking on massive credit card debt to buy luxury goods?
If a poor man gets a rich woman pregnant out of wedlock, can he get child support?	Parenting; Children; Pregnancy; Family and Families; Child Support; 	
Can a bar of soap get dirty, or is it self-cleaning because it's soap?	Science; Soap; 	
What are variables you can track to get started with Quantified Self?	Quantified Self; 	I've recently started hosting QS meetups in my city and members are asking me how to get started.  Food? Exercise?  What's something easy that someone who is not tech savvy can use to get started?
Can I get many up votes if I Ask anonymously and answer my self anonymously?	Games; 	
Can people get you off with their minds?	Philosophy of Mind; 	
What are some organizations that help poor people improve their lives without needing to earn more money or get into debt?	Nonprofit Organizations; Causes; Quality of Life; Poverty; Poor People; Complementary and Alternative Medicine; Money; 	In other words, orgs that work to reduce dependence on money.
What's it like being super rich and enjoying an extravagant lifestyle while so many people are poor, suffering and just barely getting by?	Money; Wealthy People and Families; Social Psychology; Wealth; Being Wealthy; Psychology; Poverty; 	I know and have known people on both ends of the spectrum; from super wealth to complete destitution. I always find it remarkable how warped people's sense of reality is on both ends of the socioeconomic scale. Of course, these are based on anecdotal observations.  How does it make you feel when you drive by someone digging through the trash for their next meal and you're in a $150k car?  How does it feel to watch news reports of extreme poverty abroad or even in your own country from your multi-million dollar home?  How does one rationalize extravagance? How do the "haves" reconcile their morality?  Furthermore, what justification is there for gluttony in the moral spectrum? Does it make it okay to live lavishly if you donate some percentage of your money/time to benefit others?  It would be preferable to hear from those of you who actually have significant wealth and are willing to speak openly about how you think about and cope with these moral issues.
What are some things that one can do daily to boost their confidence?	Self-Improvement; Self-Confidence; 	
In what ways can I speak with more confidence at my workplace?	Psychology; Social Psychology; Self-Confidence; Workplace and Professional Etiquette; Offices; 	I can talk confidently with friends and family or when meeting new people other than at work; I can be really confident and impress them. However, when it comes to the workplace, I am the meekest of all; I dont make eye-contact with people lest I have to talk to them, I dont go out for lunches or make any work-friends, and I am too submissive with my manager. I never let my opinion count.   Can you please tell me how I can improve myself at my workplace? I am not too good with the technology I work on. That could be one reason, but I've seen my colleagues who are even worse than me hanging around with people confidently and making friends. All the time I'm in office, my main aim is to avoid interacting with people and get home as soon as possible. Please help me.
How can I prevent my children from having low self-esteem? How can I prevent them from emulating my lack of self-esteem?	Parenting; Child Development; Children; Psychology; Self-Improvement; 	I have always has self-esteem issues ever since I was a kid.I really don't know the reason for that. I feel very uncomfortable accepting compliments and put myself down when someone compliments or praises me, e.g. If my friend says, "Hey, you've lost weight and you look good", my reply would be, "Oh it's the dress that makes me look slim, I am as fat as ever." Even though I know that I DID lose weight.  I have no issues with my appearance as I am very good looking, but my problem is with low self-esteem and I constantly put myself down amongst everyone, at work or in social settings. I make every effort to praise my children for their little achievements but sooner or later, they will take cues from me. I'm afraid they will have self-esteem issues as they grow older. I know how painful each day goes by for me. I do not want my kids to suffer like me. Any suggestions?
How can you effectively network, promote yourself, and get ahead if you are not really a people-person?	Personal Networking; Professional Networking; Introverts and Introversion; Interpersonal Interaction; Extroverts and Extroversion; 	In the tech industry, I've found that many people who get ahead and are seen as influencers are extroverted people such as  salespeople, managers, or founders on the business side.  They spend the majority of their time in meetings, networking, or promoting themselves online.  For the rest of us who are less people-oriented, and spend the majority of our day in front of a computer working on a product, what are some techniques you've found for effectively networking?
How can I get in touch with the influential people at large food manufacturing companies?	Business Development; 	I am talking about companies that manufacture food mostly. Some examples would be Chiquita Banana, General Mills, etc. What I am thinking of is for a startup
How can you get people to notice good content and link to it?	Search Engine Optimization (SEO); 	It seems to be a chicken and egg scenario.  Create good content that people want to link to.   But once you create good content,  how can you get it known so that interested people can link to it?  Suggestions?
How can a songwriter get his/her work noticed by the right people?	Breaking Into the Music Business; Music Industry; Independent Music; Songwriting; Music; 	How do you get music industry professionals to hear your work?
How can I get someone to stop telling people I'm his girlfriend?	Manners and Etiquette; Dating and Relationships; 	Also, what could be his motivation for doing this? I'm not his girlfriend!  For the record, this is *not* a dating miscommunication. He tried to take me on a date once, and I let him know that I wasn't interested, reminding him that I'm in a committed (albeit long-distance) relationship. My relationship status hasn't changed and we've only been hanging out in group settings.
How can I stop getting angry when people annoy me?	Social Psychology; 	
How can I get a list of all individuals (celebrities, notable people) that have their own entry in Wikipedia?	Wikipedia Mining; Celebrities; Wikipedia; Data Mining; 	I have a projet where i need a list of the name of famous people in the history. The definition of famous is "worthy of comment, news and register by the public", so my first idea was to look at Wikipedia, which already involves a fair amount of screening. Especially in Portal:Biography [ http://en.wikipedia.org/wiki/Portal:Biography ].   But I have no idea how to get a list of of names from there.. Is there a way to access their API and do a selective search by articles about people?  Thanks!
Can I get sued for making a website teaching people how to choke themselves?	Attorneys; Law; Legal Issues; 	Will I be sued for this? Is their a legal way to do it?
How can I get people to contribute to my site in the same way that they contribute to Wikipedia?	Wikipedia; Startups; Startup Advice and Strategy; User Experience; 	People, I have read, generally contribute to Wikipedia as a way to help other people out. How can I get people to contribute to my site for this same reason?
How can I get news alerts about any of 100 people and 100 companies?	Startups; Google Alerts; Web Development; Marketing; 	I'm managing a group.  I'd like to send out news to the group when one of the members, or one of the member's companies is mentioned in the news/blogosphere.  Other than Google Alerts - any ideas? Thanks!
How can I get people to visit my new news website?	Customer Development; User Acquisition; Marketing; News; 	I want to get users to report the stories that they think are news worthy and to also drive people to the site to read the stories. I honestly think it would be brilliant if we had a news site that was driven by users.  It would cut out all the crap. Take a look at www.thetimeless.co.uk to see what I mean.
Are we born (verifiably) as type "A" or type "B" as people? How can we get along?	Psychology; Human Behavior; 	Are there genetic markers that can   identify our predispostion to being more laid back v. more aggressive and organized?
How can I get people working for my startup if I have no way to pay them?	Startup Compensation; 	
How can we get the A+ and A2.0 people to stop appropriating the term atheist?	Atheism; 	If I form a group called New Vegan-ism and make the central theme a anti-nuclear power stance, I am confusing people.
How can I get influential people to read my Silicon Valley novel?	Influential People; Startups; Silicon Valley; Breaking in as a New Author or Novelist; 	I have this serial fiction novel published (MYTHOS: A Silicon Valley Thriller [ http://cabrerabrothers.com/mythos ]) and I'm trying to get some of the most influential tech bloggers and people to give my novel a read in the hope they can share it online, since it is a serial fiction they have to only read the first two chapters I published last week, but for the life of me I can't seem to think on a good strategy.   They are quite hard to find through social networks and email without falling to the "spam" category and I know I had my own share of "would you review my book?" emails in the past to write one of those.  Can someone lend a hand? What promotional methods would you use?
How can SCVNGR be used to get people interested in a political candidate?	Political Campaigns and Elections; U.S. Politics; Social Media; Politics; SCVNGR; 	We all know campaigns don't use social networks as well as they could. Most simply use them as a metric of "how many followers does candidate X have vs. candidate Y?" A series of related questions
